"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Feb.20, 2024"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/ITEMS Code","A4101","","A410101","","A410102","","A4103",""
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A4101_Number of live births[person]","Annotation","A410101_Number of live births (Male)[person]","Annotation","A410102_Number of live births (Female)[person]","Annotation","A4103_Total fertility rate[-]","Annotation"
"2018100000","2018","28000","Hyogo-ken","","39,713","","20,450","","19,263","","1.44",""
"2018100000","2018","29000","Nara-ken","","8,947","","4,626","","4,321","","1.37",""
"2018100000","2018","30000","Wakayama-ken","","6,070","","3,122","","2,948","","1.48",""
"2018100000","2018","31000","Tottori-ken","","4,190","","2,211","","1,979","","1.61",""
"2018100000","2018","32000","Shimane-ken","","4,887","","2,526","","2,361","","1.74",""
"2018100000","2018","33000","Okayama-ken","","14,485","","7,355","","7,130","","1.53",""
"2018100000","2018","34000","Hiroshima-ken","","21,363","","10,864","","10,499","","1.55",""
"2018100000","2018","35000","Yamaguchi-ken","","8,987","","4,606","","4,381","","1.54",""
"2018100000","2018","36000","Tokushima-ken","","4,998","","2,561","","2,437","","1.52",""
"2018100000","2018","37000","Kagawa-ken","","6,899","","3,478","","3,421","","1.61",""
"2018100000","2018","38000","Ehime-ken","","9,330","","4,748","","4,582","","1.55",""
"2018100000","2018","39000","Kochi-ken","","4,559","","2,345","","2,214","","1.48",""
"2018100000","2018","40000","Fukuoka-ken","","42,008","","21,436","","20,572","","1.49",""
"2018100000","2018","41000","Saga-ken","","6,535","","3,336","","3,199","","1.64",""
"2018100000","2018","42000","Nagasaki-ken","","10,135","","5,251","","4,884","","1.68",""
"2018100000","2018","43000","Kumamoto-ken","","14,301","","7,292","","7,009","","1.69",""
"2018100000","2018","44000","Oita-ken","","8,200","","4,128","","4,072","","1.59",""
"2018100000","2018","45000","Miyazaki-ken","","8,434","","4,316","","4,118","","1.72",""
"2018100000","2018","46000","Kagoshima-ken","","12,956","","6,649","","6,307","","1.70",""
"2018100000","2018","47000","Okinawa-ken","","15,732","","8,165","","7,567","","1.89",""
"2017100000","2017","00000","All Japan","","946,146","","484,478","","461,668","","1.43",""
"2017100000","2017","01000","Hokkaido","","34,058","","17,511","","16,547","","1.29",""
"2017100000","2017","02000","Aomori-ken","","8,035","","4,104","","3,931","","1.43",""
"2017100000","2017","03000","Iwate-ken","","8,175","","4,132","","4,043","","1.47",""
"2017100000","2017","04000","Miyagi-ken","","16,681","","8,606","","8,075","","1.31",""
"2017100000","2017","05000","Akita-ken","","5,396","","2,730","","2,666","","1.35",""
"2017100000","2017","06000","Yamagata-ken","","7,259","","3,729","","3,530","","1.45",""
"2017100000","2017","07000","Fukushima-ken","","13,219","","6,761","","6,458","","1.57",""
"2017100000","2017","08000","Ibaraki-ken","","20,431","","10,572","","9,859","","1.48",""
"2017100000","2017","09000","Tochigi-ken","","14,029","","7,251","","6,778","","1.45",""
"2017100000","2017","10000","Gumma-ken","","13,280","","6,837","","6,443","","1.47",""
"2017100000","2017","11000","Saitama-ken","","53,076","","27,008","","26,068","","1.36",""
"2017100000","2017","12000","Chiba-ken","","44,055","","22,647","","21,408","","1.34",""
"2017100000","2017","13000","Tokyo-to","","108,990","","55,818","","53,172","","1.21",""
"2017100000","2017","14000","Kanagawa-ken","","68,133","","34,788","","33,345","","1.34",""
"2017100000","2017","15000","Niigata-ken","","14,967","","7,708","","7,259","","1.41",""
"2017100000","2017","16000","Toyama-ken","","7,178","","3,725","","3,453","","1.55",""
"2017100000","2017","17000","Ishikawa-ken","","8,696","","4,432","","4,264","","1.54",""
"2017100000","2017","18000","Fukui-ken","","5,856","","2,966","","2,890","","1.62",""
"2017100000","2017","19000","Yamanashi-ken","","5,705","","2,861","","2,844","","1.50",""
"2017100000","2017","20000","Nagano-ken","","14,525","","7,435","","7,090","","1.56",""
"2017100000","2017","21000","Gifu-ken","","14,040","","7,139","","6,901","","1.51",""
"2017100000","2017","22000","Shizuoka-ken","","26,261","","13,474","","12,787","","1.52",""
"2017100000","2017","23000","Aichi-ken","","62,436","","31,994","","30,442","","1.54",""
"2017100000","2017","24000","Mie-ken","","12,663","","6,490","","6,173","","1.49",""
"2017100000","2017","25000","Shiga-ken","","11,600","","6,012","","5,588","","1.54",""
"2017100000","2017","26000","Kyoto-fu","","18,521","","9,476","","9,045","","1.31",""
"2017100000","2017","27000","Osaka-fu","","66,605","","34,132","","32,473","","1.35",""
"2017100000","2017","28000","Hyogo-ken","","41,606","","21,275","","20,331","","1.47",""
"2017100000","2017","29000","Nara-ken","","8,965","","4,583","","4,382","","1.33",""
"2017100000","2017","30000","Wakayama-ken","","6,465","","3,351","","3,114","","1.52",""
"2017100000","2017","31000","Tottori-ken","","4,310","","2,210","","2,100","","1.66",""
"2017100000","2017","32000","Shimane-ken","","5,109","","2,619","","2,490","","1.72",""
"2017100000","2017","33000","Okayama-ken","","14,910","","7,634","","7,276","","1.54",""
"2017100000","2017","34000","Hiroshima-ken","","22,150","","11,354","","10,796","","1.56",""
"2017100000","2017","35000","Yamaguchi-ken","","9,455","","4,836","","4,619","","1.57",""
"2017100000","2017","36000","Tokushima-ken","","5,182","","2,675","","2,507","","1.51",""
"2017100000","2017","37000","Kagawa-ken","","7,387","","3,785","","3,602","","1.65",""
"2017100000","2017","38000","Ehime-ken","","9,569","","4,879","","4,690","","1.54",""
"2017100000","2017","39000","Kochi-ken","","4,837","","2,457","","2,380","","1.56",""
"2017100000","2017","40000","Fukuoka-ken","","43,440","","22,139","","21,301","","1.51",""
"2017100000","2017","41000","Saga-ken","","6,743","","3,513","","3,230","","1.64",""
"2017100000","2017","42000","Nagasaki-ken","","10,558","","5,488","","5,070","","1.70",""
"2017100000","2017","43000","Kumamoto-ken","","14,657","","7,449","","7,208","","1.67",""
"2017100000","2017","44000","Oita-ken","","8,658","","4,446","","4,212","","1.62",""
"2017100000","2017","45000","Miyazaki-ken","","8,797","","4,526","","4,271","","1.73",""
"2017100000","2017","46000","Kagoshima-ken","","13,209","","6,727","","6,482","","1.69",""
"2017100000","2017","47000","Okinawa-ken","","16,218","","8,170","","8,048","","1.94",""
"2016100000","2016","00000","All Japan","","977,242","","502,012","","475,230","","1.44",""
"2016100000","2016","01000","Hokkaido","","35,129","","17,890","","17,239","","1.29",""
"2016100000","2016","02000","Aomori-ken","","8,626","","4,380","","4,246","","1.48",""
"2016100000","2016","03000","Iwate-ken","","8,342","","4,296","","4,046","","1.45",""
"2016100000","2016","04000","Miyagi-ken","","17,399","","8,932","","8,467","","1.35",""
"2016100000","2016","05000","Akita-ken","","5,666","","2,841","","2,825","","1.39",""
"2016100000","2016","06000","Yamagata-ken","","7,547","","3,886","","3,661","","1.47",""
"2016100000","2016","07000","Fukushima-ken","","13,745","","6,995","","6,750","","1.59",""
"2016100000","2016","08000","Ibaraki-ken","","20,878","","10,710","","10,168","","1.47",""
"2016100000","2016","09000","Tochigi-ken","","14,621","","7,624","","6,997","","1.46",""
"2016100000","2016","10000","Gumma-ken","","13,661","","7,127","","6,534","","1.48",""
"2016100000","2016","11000","Saitama-ken","","54,452","","28,113","","26,339","","1.37",""
"2016100000","2016","12000","Chiba-ken","","45,389","","23,275","","22,114","","1.35",""
"2016100000","2016","13000","Tokyo-to","","111,964","","57,361","","54,603","","1.24",""
"2016100000","2016","14000","Kanagawa-ken","","70,649","","36,257","","34,392","","1.36",""
"2016100000","2016","15000","Niigata-ken","","15,737","","8,126","","7,611","","1.43",""
"2016100000","2016","16000","Toyama-ken","","7,302","","3,720","","3,582","","1.50",""
"2016100000","2016","17000","Ishikawa-ken","","8,928","","4,646","","4,282","","1.53",""
"2016100000","2016","18000","Fukui-ken","","6,114","","3,175","","2,939","","1.65",""
"2016100000","2016","19000","Yamanashi-ken","","5,819","","2,945","","2,874","","1.51",""
"2016100000","2016","20000","Nagano-ken","","15,171","","7,852","","7,319","","1.59",""
"2016100000","2016","21000","Gifu-ken","","14,831","","7,549","","7,282","","1.54",""
"2016100000","2016","22000","Shizuoka-ken","","27,654","","14,232","","13,422","","1.55",""
"2016100000","2016","23000","Aichi-ken","","64,231","","32,990","","31,241","","1.56",""
"2016100000","2016","24000","Mie-ken","","13,376","","6,889","","6,487","","1.53",""
"2016100000","2016","25000","Shiga-ken","","12,073","","6,144","","5,929","","1.56",""
"2016100000","2016","26000","Kyoto-fu","","19,327","","9,863","","9,464","","1.34",""
"2016100000","2016","27000","Osaka-fu","","68,817","","35,343","","33,474","","1.37",""
"2016100000","2016","28000","Hyogo-ken","","43,379","","22,346","","21,033","","1.49",""
"2016100000","2016","29000","Nara-ken","","9,430","","4,780","","4,650","","1.36",""
"2016100000","2016","30000","Wakayama-ken","","6,659","","3,446","","3,213","","1.50",""
"2016100000","2016","31000","Tottori-ken","","4,436","","2,312","","2,124","","1.60",""
"2016100000","2016","32000","Shimane-ken","","5,300","","2,729","","2,571","","1.75",""
"2016100000","2016","33000","Okayama-ken","","15,477","","7,904","","7,573","","1.56",""
"2016100000","2016","34000","Hiroshima-ken","","22,736","","11,747","","10,989","","1.57",""
"2016100000","2016","35000","Yamaguchi-ken","","9,844","","5,076","","4,768","","1.58",""
"2016100000","2016","36000","Tokushima-ken","","5,346","","2,732","","2,614","","1.51",""
"2016100000","2016","37000","Kagawa-ken","","7,510","","3,874","","3,636","","1.64",""
"2016100000","2016","38000","Ehime-ken","","9,911","","5,127","","4,784","","1.54",""
"2016100000","2016","39000","Kochi-ken","","4,779","","2,489","","2,290","","1.47",""
"2016100000","2016","40000","Fukuoka-ken","","44,036","","22,766","","21,270","","1.50",""
"2016100000","2016","41000","Saga-ken","","6,811","","3,495","","3,316","","1.63",""
"2016100000","2016","42000","Nagasaki-ken","","10,886","","5,612","","5,274","","1.71",""
"2016100000","2016","43000","Kumamoto-ken","","14,896","","7,642","","7,254","","1.66",""
"2016100000","2016","44000","Oita-ken","","9,059","","4,657","","4,402","","1.65",""
"2016100000","2016","45000","Miyazaki-ken","","8,929","","4,556","","4,373","","1.71",""
"2016100000","2016","46000","Kagoshima-ken","","13,688","","7,006","","6,682","","1.68",""
"2016100000","2016","47000","Okinawa-ken","","16,617","","8,522","","8,095","","1.95",""
"2015100000","2015","00000","All Japan","","1,005,721","","515,468","","490,253","","1.45",""
"2015100000","2015","01000","Hokkaido","","36,696","","18,838","","17,858","","1.31",""
"2015100000","2015","02000","Aomori-ken","","8,621","","4,400","","4,221","","1.43",""
"2015100000","2015","03000","Iwate-ken","","8,814","","4,473","","4,341","","1.49",""
"2015100000","2015","04000","Miyagi-ken","","18,023","","9,319","","8,704","","1.36",""
"2015100000","2015","05000","Akita-ken","","5,861","","3,044","","2,817","","1.35",""
"2015100000","2015","06000","Yamagata-ken","","7,831","","3,968","","3,863","","1.48",""
