YEAR Code,YEAR,AREA Code,AREA,A1101_Total population (Both sexes)[person],A110101_Total population (Male)[person],A110102_Total population (Female)[person],A1304_Ratio of population (under15 years old)[%],A1305_Ratio of population (15-64 years old)[%],A1306_Ratio of population (65 years old and over)[%],A4200_Number of deaths[person],A420001_Number of deaths (Male)[person],A420002_Number of deaths (Female)[person]
2011100000,2011,27000,Osaka-fu,"8,863,000","4,281,000","4,582,000",13.1,64.2,22.7,"78,952","42,528","36,424"
2011100000,2011,34000,Hiroshima-ken,"2,858,000","1,380,000","1,478,000",13.5,62.2,24.3,"28,608","14,787","13,821"
2011100000,2011,47000,Okinawa-ken,"1,402,000","688,000","714,000",17.7,65.1,17.3,"10,686","5,720","4,966"
2010100000,2010,0,All Japan,"128,057,352","62,327,737","65,729,615",13.2,63.8,23,"1,197,014","633,701","563,313"
2010100000,2010,1000,Hokkaido,"5,506,419","2,603,345","2,903,074",12,63.3,24.7,"55,404","29,845","25,559"
2010100000,2010,12000,Chiba-ken,"6,216,289","3,098,139","3,118,150",13,65.4,21.5,"50,014","27,319","22,695"
2010100000,2010,13000,Tokyo-to,"13,159,388","6,512,110","6,647,278",11.4,68.2,20.4,"104,238","56,443","47,795"
2010100000,2010,26000,Kyoto-fu,"2,636,092","1,265,387","1,370,705",12.9,63.8,23.4,"23,714","12,038","11,676"
2010100000,2010,27000,Osaka-fu,"8,865,245","4,285,566","4,579,679",13.3,64.4,22.4,"76,556","41,641","34,915"
2010100000,2010,34000,Hiroshima-ken,"2,860,750","1,380,671","1,480,079",13.7,62.4,23.9,"27,561","14,384","13,177"
2010100000,2010,47000,Okinawa-ken,"1,392,818","683,328","709,490",17.8,64.8,17.4,"10,156","5,416","4,740"
2009100000,2009,0,All Japan,"128,032,000","62,358,000","65,674,000",13.3,63.9,22.7,"1,141,865","609,042","532,823"
2009100000,2009,1000,Hokkaido,"5,524,000","2,612,000","2,911,000",12,63.7,24.2,"53,221","28,871","24,350"
2009100000,2009,12000,Chiba-ken,"6,180,000","3,083,000","3,097,000",13.3,65.7,21,"47,819","26,517","21,302"
